Id,NameAr,Name,DescriptionArSummary,TypeName,MainImageUrl,CRNumber,ActiveStatus,StampImage,Rating,RatingNum,Url,Phone,whatsapp,Email,Website,Instgram,Twiter
92322,عقار حائل,hail real estate,عرض واستقبال العروض العقارية,العقارات,https://maroof.sa//app/businesses/product1.jpg,,0,/Content/Stamps/logo.png,0.0,0,/92322,0544337922,https://wa.me/966544337922,SS2006SS2000@hotmail.com,,https://instagram.com/4_hail,
93718,غزالة للخدمات العقارية,Gazala Real Estate Services,خدمات عقارية,العقارات,https://maroof.sa//app/businesses/Tmp/attachment_167400.jpg,1010900719.0,0,/Content/Stamps/gold-logo.png,0.0,0,/93718,0500620091,https://wa.me/966500620091,info@gazala.com.sa,https://www.gazala-sa.com/,,https://twitter.com/GAZALA_RES
93714,مؤسسة فرسان نجد العقارية ,Forsan Najd Real Estate Est,"مؤسسة فرسان نجد العقارية
إدارة أملاك بيع شراء تأجير ",العقارات,https://maroof.sa//app/businesses/Tmp/attachment_186057.jpg,2051227678.0,0,/Content/Stamps/gold-logo.png,0.0,0,/93714,0595999487,https://wa.me/966595999784,knightsofnejdsa@gmail.com,https://maroof.sa/93714,,https://twitter.com/ForsanNajdEst
91540,مؤسسة التطوير الريادي العقارية,Leading Development Real Estates Est,إدارة وتاجير العقارات المملوكة أو المؤجرة سكنية   إدارة وتاجير العقارات المملوكة او المؤجرة تجارية,العقارات,https://maroof.sa//app/businesses/Tmp/attachment_81534.jpg,2050097398.0,0,/Content/Stamps/gold-logo.png,0.0,0,/91540,0504837135,https://wa.me/966504837135,info@ldree.com,http://ldree.com,https://instagram.com/ldree223,https://twitter.com/ldree2014
92533,إدارة مرافق الإيواء السياحي,Management of tourist accommodation facilities,تشغيل الفنادق بالمركزية في مكة المكرمة واستقبال الحجاج والمعتمرين من الداخل والخارج وتوفير لهم أفضل ...,العقارات,https://maroof.sa//app/businesses/Tmp/attachment_82280.jpg,4031224071.0,0,/Content/Stamps/gold-logo.png,0.0,0,/92533,0125700664,https://wa.me/966559931244,aalnoman@msn.com,,,
93612,مكتب مواثق للخدمات العقارية,,إدارة الأملاك,العقارات,https://maroof.sa//app/businesses/product1.jpg,1131304659.0,0,/Content/Stamps/gold-logo.png,0.0,0,/93612,0540710299,https://wa.me/966540710299,mawthq.office@gmail.com,,,https://twitter.com/mawthq
93651,منصة عقارات من المالك مباشرة,Real Estate Platform for Sale By Owner,منصة عقارية للبيع والشراء من المالك مباشرة,العقارات,https://maroof.sa//app/businesses/Tmp/attachment_82373.jpg,2052102166.0,0,/Content/Stamps/gold-logo.png,0.0,0,/93651,0536053183,https://wa.me/966536053183,CEO@aqarat.org,http://www.aqarat.org,https://instagram.com/aqaratorg,https://twitter.com/AqaratOrg
93710,مكتب العالم العقاري للعقار,Real Estate World Real Estate Office,بيع وشراء الاراضي وادارة وتاجير المباني السكنية والغير سكنية وادارة العقارات مقابل عمولة,العقارات,https://maroof.sa//app/businesses/Tmp/attachment_82415.jpg,4650046818.0,0,/Content/Stamps/gold-logo.png,0.0,0,/93710,0532619220,https://wa.me/966532619220,reofm11@hotmail.com,,,
90367,مقاولات عامة , General Contracting,تنظيف المباني ,العقارات,https://maroof.sa//app/businesses/product1.jpg,,0,/Content/Stamps/logo.png,0.0,0,/90367,0552222450,,aaly201165@yahoo.com,,,
77076,عقار ستيشن,Aqaar Station,تسويق جميع العقارات بأنواعها الكترونياً ،داخل وخارج المملكة .,العقارات,https://maroof.sa//app/businesses/product1.jpg,,0,/Content/Stamps/logo.png,0.0,0,/77076,0537273183,,aqaarstation@gmail.com,,https://instagram.com/aqaarstation,
77008,عقار ابوكايد ,Abokaid Property,توثيق العقود وتاجير  العقار ,العقارات,https://maroof.sa//app/businesses/product1.jpg,,0,/Content/Stamps/logo.png,0.0,0,/77008,8421201,,kk0557600180@gmail.com,,,
74221,لمتنا,,ادارة الحجوزات  للمنتجعات والشاليهات والمخيمات  ومستلزمات  الرحلات والطلعات مثل الالعاب المطاطية ...,العقارات,https://maroof.sa//app/businesses/Tmp/attachment_70039.jpg,,0,/Content/Stamps/logo.png,0.0,0,/74221,0501884967,,f.deara23@gmail.com,,https://www.instagram.com/chalets_alkharj,
78421,سهول العقارية,Suhul,سهول منصة تسويق عقارية,العقارات,https://maroof.sa//app/businesses/Tmp/attachment_177225.jpg,4031208115.0,0,/Content/Stamps/gold-logo.png,0.0,0,/78421,0552400045,https://wa.me/966552400045,ssuhulsa@gmail.com,https://suhul.sa,https://instagram.com/suhulsa,https://twitter.com/suhulsa
90259,تطبيق عقاريتو,AQARITO APP,عقاريتو للعقار والبناء هو أفضل سوق عقاري إلكتروني لشراء وبيع وتأجير الشقق والفلل والأراضي والعقارات ...,العقارات,https://maroof.sa//app/businesses/Tmp/attachment_80522.jpg,1010614879.0,0,/Content/Stamps/gold-logo.png,0.0,0,/90259,0554884430,https://wa.me/966554884430,info@aqarito.com,http://aqarito.com/,https://instagram.com/aqaritoapp,https://twitter.com/AqaritoApp
76500,مكتب ركن المثمن العقاري,ROKN ALMTHMN  Real estate,"مكتب ركن المثمن العقاري 
لبيع وشراء وتسويق العقارات 
عقود موحده سكنيه وتجارية 
وسيط عقاري معتمد ...",العقارات,https://maroof.sa//app/businesses/Tmp/attachment_68067.jpg,1011124198.0,0,/Content/Stamps/gold-logo.png,0.0,0,/76500,0595521722,,Almsweg@gmail.com,https://t.me/Almsweg,https://instagram.com/almsweg,
74057,ظلال الحقيقة,The shadow of truth,AT HOME,العقارات,https://maroof.sa//app/businesses/Tmp/attachment_65669.jpg,,0,/Content/Stamps/logo.png,0.0,0,/74057,5430032,,hackona@gmail.com,,,
